Ref,Val,Package,PosX,PosY,Rot,Side
"ANT0","25X48MM_NFC_ANTENNA","25X48MM_NFC",197.891400,-129.413000,90.000000,bottom
"C1","220 nf","C0603_348",225.094800,-129.184400,90.000000,bottom
"LED1","","SML0805_259",223.977200,-147.628321,-160.000000,bottom
"NT3H1101","NT3H","XQFN8",220.827600,-129.235200,-90.000000,bottom
"R1","47 Ω","R0603_348",226.594800,-129.184400,-90.000000,bottom
"REF**","CP_Elec_3x5.4","CP_Elec_3x5.4",268.606400,-113.182400,0.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.899000,-136.017000,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.873600,-150.164800,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.899000,-143.103600,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.899000,-140.716000,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.880200,-152.501600,180.000000,bottom
"REF**","CP_Elec_3x5.4","CP_Elec_3x5.4",268.606400,-122.097800,0.000000,bottom
"REF**","CP_Elec_3x5.4","CP_Elec_3x5.4",268.606400,-117.602000,0.000000,bottom
"REF**","CP_Elec_3x5.4","CP_Elec_3x5.4",268.708000,-126.492000,0.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.931000,-133.680200,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.873600,-138.328400,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.873600,-145.415000,180.000000,bottom
"REF**","C_0504_1310Metric","C_0504_1310Metric",269.880200,-147.777200,180.000000,bottom
"REF**","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",228.783176,-123.685200,0.000000,top
